,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL230505P00050000,2023-04-26 14:21:57+00:00,50.0,0.01,0.0,0.01,0.0,0.0,16.0,66,4.12500484375,False,REGULAR,USD
1,AAPL230505P00060000,2023-04-28 14:37:53+00:00,60.0,0.01,0.0,0.01,0.0,0.0,5.0,5,3.50000125,False,REGULAR,USD
2,AAPL230505P00070000,2023-05-02 16:48:37+00:00,70.0,0.01,0.0,0.01,0.0,0.0,4.0,4,3.0000025,False,REGULAR,USD
3,AAPL230505P00080000,2023-05-01 17:00:17+00:00,80.0,0.02,0.0,0.01,0.0,0.0,,2,2.56250359375,False,REGULAR,USD
4,AAPL230505P00090000,2023-03-30 15:10:19+00:00,90.0,0.03,0.0,0.01,0.0,0.0,,1,2.1250046874999997,False,REGULAR,USD
5,AAPL230505P00095000,2023-05-01 13:39:27+00:00,95.0,0.01,0.0,0.01,0.0,0.0,2.0,10,1.96875015625,False,REGULAR,USD
6,AAPL230505P00100000,2023-04-28 19:13:56+00:00,100.0,0.01,0.0,0.01,0.0,0.0,1271.0,1429,1.8125009374999999,False,REGULAR,USD
7,AAPL230505P00105000,2023-04-28 19:09:58+00:00,105.0,0.01,0.0,0.01,0.0,0.0,130.0,242,1.625001875,False,REGULAR,USD
8,AAPL230505P00110000,2023-04-28 19:58:14+00:00,110.0,0.01,0.0,0.01,0.0,0.0,6011.0,5600,1.5000025,False,REGULAR,USD
9,AAPL230505P00115000,2023-05-02 18:18:36+00:00,115.0,0.01,0.0,0.01,0.0,0.0,6.0,1710,1.3437532812499997,False,REGULAR,USD
10,AAPL230505P00120000,2023-05-03 19:27:23+00:00,120.0,0.01,0.0,0.01,0.0,0.0,4.0,1917,1.1875040625,False,REGULAR,USD
11,AAPL230505P00125000,2023-05-03 19:47:29+00:00,125.0,0.01,0.0,0.01,0.0,0.0,5405.0,2839,1.0625046875000002,False,REGULAR,USD
12,AAPL230505P00130000,2023-05-03 19:59:52+00:00,130.0,0.01,0.0,0.01,-0.01,-50.0,1883.0,2293,0.937500625,False,REGULAR,USD
13,AAPL230505P00135000,2023-05-03 16:37:30+00:00,135.0,0.01,0.01,0.02,0.0,0.0,31.0,2871,0.8906260937499999,False,REGULAR,USD
14,AAPL230505P00136000,2023-05-03 13:40:11+00:00,136.0,0.04,0.0,0.02,0.02,100.0,1.0,300,0.8281267187499999,False,REGULAR,USD
15,AAPL230505P00137000,2023-05-03 19:05:40+00:00,137.0,0.02,0.01,0.02,-0.01,-33.333336,9.0,384,0.8437515624999999,False,REGULAR,USD
16,AAPL230505P00138000,2023-05-02 18:12:26+00:00,138.0,0.03,0.02,0.03,0.0,0.0,42.0,457,0.85937640625,False,REGULAR,USD
17,AAPL230505P00139000,2023-05-03 18:07:23+00:00,139.0,0.02,0.02,0.04,-0.01,-33.333336,50.0,784,0.851563984375,False,REGULAR,USD
18,AAPL230505P00140000,2023-05-03 19:59:57+00:00,140.0,0.03,0.02,0.03,0.0,0.0,140.0,2051,0.804689453125,False,REGULAR,USD
19,AAPL230505P00141000,2023-05-03 19:46:28+00:00,141.0,0.04,0.02,0.04,0.0,0.0,98.0,1214,0.789064609375,False,REGULAR,USD
20,AAPL230505P00142000,2023-05-03 19:56:30+00:00,142.0,0.04,0.02,0.05,-0.010000002,-20.000004,3.0,478,0.773439765625,False,REGULAR,USD
21,AAPL230505P00143000,2023-05-03 19:49:58+00:00,143.0,0.05,0.03,0.05,0.010000002,25.000006,90.0,413,0.7578149218750001,False,REGULAR,USD
22,AAPL230505P00144000,2023-05-03 19:59:43+00:00,144.0,0.05,0.04,0.06,0.0,0.0,44.0,702,0.7539087109375,False,REGULAR,USD
23,AAPL230505P00145000,2023-05-03 19:58:02+00:00,145.0,0.06,0.04,0.06,0.009999998,19.999996,1335.0,2426,0.7226590234375,False,REGULAR,USD
24,AAPL230505P00146000,2023-05-03 19:44:20+00:00,146.0,0.06,0.06,0.07,0.0,0.0,244.0,759,0.7187528125,False,REGULAR,USD
25,AAPL230505P00147000,2023-05-03 19:54:28+00:00,147.0,0.08,0.07,0.08,0.009999998,14.285712,337.0,659,0.70312796875,False,REGULAR,USD
26,AAPL230505P00148000,2023-05-03 19:54:21+00:00,148.0,0.1,0.08,0.09,0.009999998,11.111108,259.0,1212,0.6835969140625001,False,REGULAR,USD
27,AAPL230505P00149000,2023-05-03 19:59:43+00:00,149.0,0.11,0.1,0.11,0.019999996,22.222216,394.0,2124,0.6757844921875001,False,REGULAR,USD
28,AAPL230505P00150000,2023-05-03 19:59:46+00:00,150.0,0.13,0.13,0.14,0.019999996,18.181814,5223.0,13506,0.6718782812500002,False,REGULAR,USD
29,AAPL230505P00152500,2023-05-03 19:58:58+00:00,152.5,0.22,0.2,0.22,0.060000002,37.500004,1464.0,5521,0.64062859375,False,REGULAR,USD
30,AAPL230505P00155000,2023-05-03 19:59:58+00:00,155.0,0.36,0.35,0.36,0.110000014,44.000008,6510.0,11521,0.622074091796875,False,REGULAR,USD
31,AAPL230505P00157500,2023-05-03 19:59:59+00:00,157.5,0.58,0.56,0.59,0.16,38.095238,5230.0,10569,0.5996133789062501,False,REGULAR,USD
32,AAPL230505P00160000,2023-05-03 19:59:59+00:00,160.0,0.95,0.95,0.96,0.24000001,33.80282,14461.0,16358,0.5883830224609375,False,REGULAR,USD
33,AAPL230505P00162500,2023-05-03 19:59:57+00:00,162.5,1.49,1.47,1.52,0.34000003,29.565222,11223.0,18526,0.5722699023437501,False,REGULAR,USD
34,AAPL230505P00165000,2023-05-03 19:59:59+00:00,165.0,2.31,2.29,2.32,0.4899999,26.923069,18357.0,15963,0.5639692041015626,False,REGULAR,USD
35,AAPL230505P00167500,2023-05-03 19:59:57+00:00,167.5,3.35,3.3,3.4,0.5799999,20.938625,18751.0,15147,0.5488326367187502,True,REGULAR,USD
36,AAPL230505P00170000,2023-05-03 19:59:25+00:00,170.0,4.7,4.65,4.75,0.6999998,17.499996,17419.0,13983,0.5356491748046875,True,REGULAR,USD
37,AAPL230505P00172500,2023-05-03 19:58:47+00:00,172.5,6.3,6.2,6.4,0.9500003,17.757015,1899.0,2575,0.5127001855468749,True,REGULAR,USD
38,AAPL230505P00175000,2023-05-03 19:57:41+00:00,175.0,8.27,7.4,8.3,1.2700005,18.142864,888.0,4091,0.51758294921875,True,REGULAR,USD
